0 0 0
0.0322581 1.11222e-12 0.101168
0.0645161 2.21334e-12 0.201299
0.0967742 3.29181e-12 0.299363
0.129032 4.33653e-12 0.394356
0.16129 5.33684e-12 0.485302
0.193548 6.28231e-12 0.571268
0.225806 7.1636e-12 0.651372
0.258065 7.9714e-12 0.724793
0.290323 8.69749e-12 0.790776
0.322581 9.33431e-12 0.848644
0.354839 9.87499e-12 0.897805
0.387097 1.03144e-11 0.937752
0.419355 1.06477e-11 0.968077
0.451613 1.08717e-11 0.988468
0.483871 1.09841e-11 0.998717
0.516129 1.09839e-11 0.998717
0.548387 1.08711e-11 0.988468
0.580645 1.06468e-11 0.968077
0.612903 1.03133e-11 0.937752
0.645161 9.87388e-12 0.897805
0.677419 9.33298e-12 0.848644
0.709677 8.69638e-12 0.790776
0.741935 7.97051e-12 0.724793
0.774194 7.16271e-12 0.651372
0.806452 6.28164e-12 0.571268
0.83871 5.33618e-12 0.485302
0.870968 4.33609e-12 0.394356
0.903226 3.29159e-12 0.299363
0.935484 2.21312e-12 0.201299
0.967742 1.11222e-12 0.101168
1 0 1.22465e-16
