0 -1 0
0.0322581 14.239 0.101168
0.0645161 29.3226 0.201299
0.0967742 44.0958 0.299363
0.129032 58.4069 0.394356
0.16129 72.1089 0.485302
0.193548 85.0612 0.571268
0.225806 97.1306 0.651372
0.258065 108.193 0.724793
0.290323 118.135 0.790776
0.322581 126.855 0.848644
0.354839 134.263 0.897805
0.387097 140.282 0.937752
0.419355 144.852 0.968077
0.451613 147.925 0.988468
0.483871 149.469 0.998717
0.516129 149.469 0.998717
0.548387 147.925 0.988468
0.580645 144.852 0.968077
0.612903 140.282 0.937752
0.645161 134.263 0.897805
0.677419 126.855 0.848644
0.709677 118.135 0.790776
0.741935 108.193 0.724793
0.774194 97.1306 0.651372
0.806452 85.0612 0.571268
0.83871 72.1089 0.485302
0.870968 58.4069 0.394356
0.903226 44.0958 0.299363
0.935484 29.3226 0.201299
0.967742 14.239 0.101168
1 -1 1.22465e-16
